CMDLINE python3 main.py
MEM 6526.500000 1607445279.4661
MEM 6462.167969 1607445279.5819
MEM 6420.394531 1607445279.6980
MEM 6387.832031 1607445279.8125
MEM 6312.914062 1607445279.9243
MEM 6250.507812 1607445280.0406
MEM 6196.867188 1607445280.1531
MEM 6157.058594 1607445280.2657
MEM 6117.648438 1607445280.3783
MEM 6063.789062 1607445280.4935
MEM 6050.972656 1607445280.6102
MEM 6047.863281 1607445280.7236
MEM 6035.035156 1607445280.8369
MEM 6032.328125 1607445280.9483
MEM 6048.417969 1607445281.0612
MEM 6081.152344 1607445281.1780
MEM 6080.714844 1607445281.2951
MEM 6032.519531 1607445281.4129
MEM 6013.195312 1607445281.5253
MEM 5992.246094 1607445281.6425
MEM 5981.000000 1607445281.7609
MEM 5956.875000 1607445281.8775
